                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2482,                 3.2532,                 1.0824,                0.37586,                0.33837,                0.19742,                0.13562,                 1.1951,                  3.842,                 1.1067,             0.00019278,             0.00019278,             0.00019278
                      2,                 1.1663,                 2.0364,                 1.1314,                0.04598,                0.61678,                0.06237,                0.04044,                 1.2883,                    inf,                 1.2868,             0.00038946,             0.00038946,             0.00038946
                      3,                 1.1622,                 1.8087,                 1.1604,                0.32526,                0.42389,                0.34478,                 0.2205,                 1.2825,                 3.5803,                 1.3222,             0.00058284,             0.00058284,             0.00058284
                      4,                 1.1299,                 1.6682,                 1.1572,                0.22379,                0.47995,                0.23844,                0.15199,                 1.2725,                    inf,                 1.5866,             0.00069633,             0.00069633,             0.00069633
                      5,                 1.2207,                 1.5183,                 1.1943,                0.55038,                 0.3782,                0.37377,                0.23361,                 1.3842,                 17.446,                 1.4719,             0.00069044,             0.00069044,             0.00069044
                      6,                 1.1743,                 1.3513,                 1.1311,                0.17283,                0.26327,                0.13626,                0.08629,                 1.7668,                 10.405,                 1.6904,             0.00068455,             0.00068455,             0.00068455
                      7,                 1.1249,                 1.2182,                 1.1284,                0.36014,                0.46506,                0.39857,                 0.2571,                 1.2683,                 2.1791,                 1.2377,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.0781,                 1.2092,                 1.1101,                0.57195,                0.51221,                0.56261,                 0.3664,                   1.22,                 1.4596,                 1.2309,             0.00067277,             0.00067277,             0.00067277
                      9,                 1.1126,                 1.1117,                 1.1409,                 0.5265,                0.50796,                0.50961,                0.32391,                 1.3154,                 2.0176,                 1.3653,             0.00066688,             0.00066688,             0.00066688
                     10,                 1.1062,                  1.134,                 1.1598,                0.57954,                0.58168,                0.60343,                0.38241,                 1.2374,                  1.428,                 1.2287,             0.00066099,             0.00066099,             0.00066099
                     11,                 1.0368,                 1.0671,                 1.0886,                0.66331,                0.52822,                0.61314,                0.38841,                 1.1922,                 1.3539,                 1.1942,             0.00065509,             0.00065509,             0.00065509
                     12,                 1.0459,                 0.9953,                 1.1041,                0.68518,                0.57751,                0.66463,                0.43078,                 1.2314,                 1.1143,                 1.2197,              0.0006492,              0.0006492,              0.0006492
                     13,                   1.09,                 1.0445,                 1.1208,                0.60744,                0.62747,                0.66945,                0.43685,                 1.2043,                   1.07,                 1.2059,             0.00064331,             0.00064331,             0.00064331
                     14,                 1.0325,                0.95439,                 1.0948,                0.64759,                0.62937,                0.69382,                0.46297,                 1.1539,                 1.0594,                 1.2202,             0.00063742,             0.00063742,             0.00063742
                     15,                 1.0308,                0.92691,                 1.0941,                0.66006,                0.64239,                0.70518,                0.45925,                 1.2216,                 1.1262,                 1.2256,             0.00063153,             0.00063153,             0.00063153
                     16,                 1.0097,                0.88408,                 1.0693,                0.70034,                0.62096,                0.68609,                0.45778,                 1.1257,                 1.0314,                 1.1647,             0.00062564,             0.00062564,             0.00062564
                     17,                0.97786,                0.84782,                 1.0458,                0.61696,                 0.6344,                0.68279,                0.47036,                 1.1162,                 1.1098,                 1.1874,             0.00061975,             0.00061975,             0.00061975
