                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3675,                 3.4788,                 1.1819,                0.13968,                0.32034,                0.17709,                0.10885,                 1.2634,                 2.7902,                 1.1467,             0.00014994,             0.00014994,             0.00014994
                      2,                 1.1799,                 2.0475,                  1.099,                0.23169,                0.41321,                0.33191,                0.21728,                  1.163,                 2.6368,                 1.1574,             0.00030398,             0.00030398,             0.00030398
                      3,                 1.1098,                 1.6526,                 1.0944,                0.20805,                 0.4329,                0.19608,                0.12022,                 1.3413,                    inf,                 1.3564,             0.00045491,             0.00045491,             0.00045491
                      4,                 1.1005,                 1.4551,                 1.1295,                0.10717,                0.30987,                0.08374,                 0.0521,                 1.8196,                 61.809,                 2.3237,             0.00060273,             0.00060273,             0.00060273
                      5,                 1.1527,                  1.465,                 1.1255,                0.23503,                0.33806,                0.20533,                0.12547,                 1.4614,                 3.3132,                 1.4185,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.0952,                  1.304,                 1.1124,                0.49051,                0.47861,                0.47355,                0.30163,                 1.2702,                 1.7909,                 1.3038,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.0788,                   1.27,                 1.1196,                0.49473,                0.40542,                0.40818,                0.26458,                 1.2421,                 2.2597,                 1.2455,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.0473,                  1.178,                 1.0834,                0.52931,                0.55857,                 0.5397,                0.35001,                 1.1999,                  1.567,                 1.2612,             0.00066452,             0.00066452,             0.00066452
                      9,                  1.083,                 1.0846,                 1.0977,                0.62534,                0.46689,                0.53434,                  0.343,                 1.1917,                 1.5552,                 1.2902,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.0371,                 1.0295,                 1.0816,                0.62429,                0.62726,                0.62687,                0.40984,                 1.1763,                 1.2242,                 1.3095,             0.00065038,             0.00065038,             0.00065038
                     11,                  1.011,                 1.0027,                 1.0648,                0.56587,                0.58551,                0.53633,                0.35027,                 1.2292,                 1.8104,                 1.2665,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.0321,                0.95064,                 1.0737,                0.65189,                0.56117,                0.59645,                0.37814,                 1.2331,                 1.3582,                 1.2638,             0.00063625,             0.00063625,             0.00063625
                     13,                0.95888,                0.93783,                 1.0536,                0.59261,                0.61073,                 0.6238,                0.42333,                 1.1342,                 1.0788,                 1.2076,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.0054,                0.92215,                 1.0535,                0.57405,                0.58641,                0.61914,                0.41061,                 1.1674,                 1.1005,                 1.2654,             0.00062211,             0.00062211,             0.00062211
                     15,                 1.0101,                0.86415,                  1.081,                0.65995,                0.48416,                0.58596,                0.38863,                  1.127,                 1.1604,                 1.1996,             0.00061504,             0.00061504,             0.00061504
                     16,                0.98411,                0.85144,                 1.0406,                0.72821,                0.64654,                 0.6829,                0.45501,                  1.153,                 1.0223,                 1.2402,             0.00060797,             0.00060797,             0.00060797
                     17,                0.93737,                0.83958,                 1.0358,                0.77038,                0.56317,                 0.6677,                0.44517,                 1.1557,                0.96542,                 1.2095,              0.0006009,              0.0006009,              0.0006009
                     18,                0.94145,                0.82711,                 1.0293,                 0.6989,                0.58659,                0.64185,                0.43324,                 1.1696,                  1.102,                 1.2292,             0.00059383,             0.00059383,             0.00059383
                     19,                 0.9429,                0.77805,                 1.0216,                0.72913,                0.58684,                0.67532,                 0.4575,                 1.1428,                 1.0404,                 1.2261,             0.00058677,             0.00058677,             0.00058677
                     20,                0.93633,                0.76324,                 1.0216,                0.70005,                0.66447,                0.71298,                0.49023,                 1.1298,                0.91118,                 1.2055,              0.0005797,              0.0005797,              0.0005797
                     21,                0.93963,                0.77156,                 1.0229,                0.69745,                0.64826,                 0.7048,                0.46735,                  1.126,                 0.9603,                 1.2054,             0.00057263,             0.00057263,             0.00057263
                     22,                0.94481,                0.76875,                 1.0227,                0.70162,                0.67896,                0.73799,                0.49391,                 1.1067,                0.87271,                 1.1926,             0.00056556,             0.00056556,             0.00056556
                     23,                0.91718,                0.71586,                 1.0151,                0.79801,                0.62496,                0.75241,                0.50407,                 1.1047,                 0.8544,                 1.1907,             0.00055849,             0.00055849,             0.00055849
                     24,                0.90877,                0.71288,                 1.0044,                0.69326,                0.63221,                0.71081,                0.49614,                 1.0603,                0.93363,                 1.1509,             0.00055142,             0.00055142,             0.00055142
                     25,                0.89392,                0.67675,                0.99104,                0.64472,                0.71608,                0.72841,                0.50405,                  1.063,                0.88612,                 1.1413,             0.00054435,             0.00054435,             0.00054435
                     26,                 0.8688,                0.69412,                0.99251,                0.80716,                 0.6231,                0.72173,                0.48392,                 1.1157,                0.89961,                 1.1512,             0.00053728,             0.00053728,             0.00053728
                     27,                0.86625,                0.70755,                0.98001,                0.68245,                0.68066,                0.71927,                0.49004,                 1.1063,                0.93933,                 1.1574,             0.00053022,             0.00053022,             0.00053022
                     28,                0.86371,                0.69093,                0.98913,                0.81212,                0.68015,                0.77594,                0.51554,                 1.0935,                0.78926,                 1.1516,             0.00052315,             0.00052315,             0.00052315
                     29,                0.85271,                0.66086,                0.98447,                0.81429,                0.63412,                0.74822,                0.50739,                 1.0566,                0.82675,                 1.1571,             0.00051608,             0.00051608,             0.00051608
                     30,                0.82718,                0.63464,                0.97148,                0.75811,                 0.6829,                0.76594,                0.52157,                 1.0933,                0.82021,                 1.1375,             0.00050901,             0.00050901,             0.00050901
                     31,                0.83838,                 0.6105,                0.96885,                0.79799,                0.64772,                0.76729,                0.52694,                 1.1163,                0.83869,                 1.1792,             0.00050194,             0.00050194,             0.00050194
                     32,                0.85092,                 0.6279,                0.96311,                0.74788,                0.69128,                0.75153,                 0.5082,                 1.1371,                0.90673,                 1.2196,             0.00049487,             0.00049487,             0.00049487
                     33,                0.84639,                0.61015,                0.98142,                0.80684,                0.66914,                 0.7725,                0.53159,                  1.067,                0.81007,                 1.1643,              0.0004878,              0.0004878,              0.0004878
                     34,                0.80425,                0.59511,                0.98503,                  0.756,                 0.7082,                0.77478,                 0.5334,                 1.0772,                0.78456,                 1.1721,             0.00048074,             0.00048074,             0.00048074
                     35,                0.82472,                0.60132,                0.96775,                0.77166,                0.68058,                0.76249,                0.53135,                  1.093,                0.81908,                 1.1802,             0.00047367,             0.00047367,             0.00047367
