                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.91749,                0.46504,                0.87534,                0.11661,                0.43337,                0.12328,                0.07692,                    nan,                    nan,                    nan,              0.0006395,              0.0006395,              0.0006395
                     39,                0.90676,                0.47345,                0.87605,                0.17291,                0.30932,                0.10207,                 0.0542,                    nan,                    nan,                    nan,               0.000623,               0.000623,               0.000623
                     40,                0.89606,                0.45471,                0.87429,                0.10127,                0.49251,                0.10377,                0.06543,                    nan,                    nan,                    nan,              0.0006065,              0.0006065,              0.0006065
                     41,                0.89164,                0.45717,                0.87095,                0.11136,                0.39335,                 0.1005,                0.05701,                    nan,                    nan,                    nan,                0.00059,                0.00059,                0.00059
                     42,                0.87044,                0.44866,                0.86929,                0.10803,                0.41034,                0.10856,                 0.0682,                    nan,                    nan,                    nan,              0.0005735,              0.0005735,              0.0005735
                     43,                0.86551,                0.44351,                0.86683,                0.14643,                0.38732,                  0.116,                0.06883,                    nan,                    nan,                    nan,               0.000557,               0.000557,               0.000557
                     44,                0.86157,                0.44156,                0.86643,                0.12271,                0.43063,                0.13795,                0.07474,                    nan,                    nan,                    nan,              0.0005405,              0.0005405,              0.0005405
                     45,                0.85655,                0.43973,                0.86616,                0.12953,                0.33386,                0.11609,                0.07139,                    nan,                    nan,                    nan,               0.000524,               0.000524,               0.000524
                     46,                0.84822,                0.43225,                0.86562,                0.12857,                 0.2007,                0.08269,                0.05201,                    nan,                    nan,                    nan,              0.0005075,              0.0005075,              0.0005075
                     47,                 0.8297,                0.43583,                0.85891,                0.10464,                0.33984,                0.08027,                0.05123,                    nan,                    nan,                    nan,               0.000491,               0.000491,               0.000491
                     48,                 0.8326,                0.42671,                0.86074,                 0.0771,                0.51106,                0.06768,                 0.0421,                    nan,                    nan,                    nan,              0.0004745,              0.0004745,              0.0004745
                     49,                0.81399,                0.42035,                0.85687,                0.13131,                0.27602,                 0.0977,                0.06306,                    nan,                    nan,                    nan,               0.000458,               0.000458,               0.000458
                     50,                0.81404,                0.42499,                0.85267,                0.30477,                0.30853,                0.12967,                0.08039,                    nan,                    nan,                    nan,              0.0004415,              0.0004415,              0.0004415
                     51,                0.78791,                0.40968,                0.85019,                0.09578,                0.47077,                0.11006,                0.06823,                    nan,                    nan,                    nan,               0.000425,               0.000425,               0.000425
                     52,                0.79113,                0.40911,                0.85265,                  0.316,                 0.3007,                0.11013,                0.06441,                    nan,                    nan,                    nan,              0.0004085,              0.0004085,              0.0004085
                     53,                0.79002,                0.40886,                0.84814,                 0.0858,                0.52864,                0.12159,                 0.0788,                    nan,                    nan,                    nan,               0.000392,               0.000392,               0.000392
                     54,                0.78121,                0.39586,                0.84738,                0.11727,                0.54173,                0.14332,                0.09698,                    nan,                    nan,                    nan,              0.0003755,              0.0003755,              0.0003755
                     55,                0.77312,                0.39597,                0.84666,                  0.313,                0.30762,                0.12797,                0.07915,                    nan,                    nan,                    nan,               0.000359,               0.000359,               0.000359
                     56,                0.77491,                0.40171,                 0.8479,                0.21339,                0.20537,                0.11668,                0.07232,                    nan,                    nan,                    nan,              0.0003425,              0.0003425,              0.0003425
