                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.647,                  2.324,                   1.07,                 0.0081,                0.67588,                0.03298,                0.01725,                    nan,                    nan,                    nan,             0.00040598,             0.00040598,             0.00040598
                      2,                 1.4831,                  1.179,                 1.0127,                0.77786,                0.10467,                0.03265,                0.01643,                    nan,                    nan,                    nan,             0.00081179,             0.00081179,             0.00081179
                      3,                 1.4596,                 1.0797,                 1.0081,                 0.7804,                0.13754,                0.04331,                0.02531,                    nan,                    nan,                    nan,              0.0012066,              0.0012066,              0.0012066
                      4,                 1.4007,                 1.0228,                0.99896,                0.78201,                0.19896,                0.05016,                0.02997,                    nan,                    nan,                    nan,              0.0012005,              0.0012005,              0.0012005
                      5,                 1.3609,                0.97275,                0.98803,                0.63131,                0.21637,                0.13133,                0.07376,                    nan,                    nan,                    nan,               0.001184,               0.001184,               0.001184
                      6,                 1.3198,                0.91632,                0.97272,                0.30465,                0.28455,                 0.0563,                0.03385,                    nan,                    nan,                    nan,              0.0011675,              0.0011675,              0.0011675
                      7,                  1.305,                0.89235,                0.96905,                0.29664,                0.42528,                 0.0432,                0.02401,                    nan,                    nan,                    nan,               0.001151,               0.001151,               0.001151
                      8,                 1.2926,                0.88001,                0.96516,                0.33468,                0.26218,                 0.0614,                0.03725,                    nan,                    nan,                    nan,              0.0011345,              0.0011345,              0.0011345
                      9,                 1.2736,                0.84625,                0.96436,                0.32755,                0.21795,                0.06807,                0.03888,                    nan,                    nan,                    nan,               0.001118,               0.001118,               0.001118
                     10,                 1.2864,                0.81777,                0.96463,                0.45461,                0.22068,                0.12589,                0.08121,                    nan,                    nan,                    nan,              0.0011015,              0.0011015,              0.0011015
                     11,                  1.264,                0.80103,                0.95882,                 0.4185,                0.37246,                0.13407,                0.08409,                    nan,                    nan,                    nan,               0.001085,               0.001085,               0.001085
                     12,                 1.2455,                0.78392,                0.95928,                0.16479,                 0.3471,                0.13024,                  0.085,                    nan,                    nan,                    nan,              0.0010685,              0.0010685,              0.0010685
                     13,                 1.2422,                0.76801,                  0.956,                 0.1716,                0.43042,                0.14697,                0.09851,                    nan,                    nan,                    nan,               0.001052,               0.001052,               0.001052
                     14,                 1.2288,                0.74469,                 0.9519,                 0.2794,                0.33338,                0.16492,                0.11125,                    nan,                    nan,                    nan,              0.0010355,              0.0010355,              0.0010355
                     15,                 1.2116,                0.72689,                0.94689,                0.13356,                0.33139,                0.14505,                0.09512,                    nan,                    nan,                    nan,               0.001019,               0.001019,               0.001019
                     16,                 1.2052,                0.72249,                0.94962,                0.18774,                 0.3291,                0.11699,                0.07061,                    nan,                    nan,                    nan,              0.0010025,              0.0010025,              0.0010025
                     17,                 1.1767,                 0.7114,                 0.9353,                 0.1869,                0.43537,                0.17017,                0.10369,                    nan,                    nan,                    nan,               0.000986,               0.000986,               0.000986
                     18,                 1.1902,                0.71926,                 0.9402,                0.19784,                0.35324,                0.14129,                 0.0837,                    nan,                    nan,                    nan,              0.0009695,              0.0009695,              0.0009695
                     19,                 1.1876,                0.70025,                0.93979,                0.35035,                 0.2458,                0.14871,                0.09947,                    nan,                    nan,                    nan,               0.000953,               0.000953,               0.000953
                     20,                 1.1749,                0.68791,                 0.9362,                0.14948,                0.36179,                0.12117,                0.07229,                    nan,                    nan,                    nan,              0.0009365,              0.0009365,              0.0009365
                     21,                 1.1851,                0.70038,                0.94315,                0.15849,                0.34706,                0.16914,                 0.1013,                    nan,                    nan,                    nan,                0.00092,                0.00092,                0.00092
                     22,                 1.1641,                0.67396,                0.93492,                0.12627,                 0.4601,                 0.1392,                0.08801,                    nan,                    nan,                    nan,              0.0009035,              0.0009035,              0.0009035
                     23,                 1.1707,                0.66518,                0.94011,                0.17742,                0.44317,                0.20583,                0.13918,                    nan,                    nan,                    nan,               0.000887,               0.000887,               0.000887
                     24,                 1.1441,                0.65213,                0.92802,                 0.1918,                0.30029,                0.16815,                0.11069,                    nan,                    nan,                    nan,              0.0008705,              0.0008705,              0.0008705
                     25,                 1.1494,                0.68382,                0.93176,                0.19728,                0.29497,                0.14531,                  0.094,                    nan,                    nan,                    nan,               0.000854,               0.000854,               0.000854
                     26,                 1.1441,                0.65915,                0.92894,                0.12508,                0.39324,                0.10768,                0.06823,                    nan,                    nan,                    nan,              0.0008375,              0.0008375,              0.0008375
                     27,                 1.1402,                0.64983,                0.92877,                0.23311,                0.46847,                0.20645,                0.13025,                    nan,                    nan,                    nan,               0.000821,               0.000821,               0.000821
                     28,                 1.1365,                0.64581,                0.92715,                0.17224,                0.45693,                0.15094,                0.09342,                    nan,                    nan,                    nan,              0.0008045,              0.0008045,              0.0008045
                     29,                 1.1283,                0.62916,                0.92663,                0.16232,                0.39753,                0.12984,                0.07887,                    nan,                    nan,                    nan,               0.000788,               0.000788,               0.000788
                     30,                 1.1221,                0.61376,                0.92424,                0.17868,                0.50793,                0.18288,                0.11734,                    nan,                    nan,                    nan,              0.0007715,              0.0007715,              0.0007715
                     31,                 1.1077,                0.61417,                0.91767,                0.23623,                0.39858,                0.16371,                0.10614,                    nan,                    nan,                    nan,               0.000755,               0.000755,               0.000755
                     32,                 1.1033,                0.60482,                 0.9161,                0.13734,                0.31809,                0.13142,                0.08267,                    nan,                    nan,                    nan,              0.0007385,              0.0007385,              0.0007385
                     33,                 1.0708,                0.59319,                0.91176,                0.13014,                0.42473,                0.15345,                0.09044,                    nan,                    nan,                    nan,               0.000722,               0.000722,               0.000722
                     34,                 1.0847,                0.59834,                0.91773,                0.15891,                0.54279,                 0.1687,                0.09964,                    nan,                    nan,                    nan,              0.0007055,              0.0007055,              0.0007055
                     35,                 1.0851,                0.59022,                0.91241,                0.15863,                0.37901,                0.13687,                0.08399,                    nan,                    nan,                    nan,               0.000689,               0.000689,               0.000689
                     36,                 1.0696,                0.58932,                0.91119,                0.11105,                 0.5525,                0.11291,                0.06297,                    nan,                    nan,                    nan,              0.0006725,              0.0006725,              0.0006725
                     37,                 1.0632,                0.58527,                 0.9124,                0.13774,                0.46307,                0.15088,                0.09584,                    nan,                    nan,                    nan,               0.000656,               0.000656,               0.000656
                     38,                 1.0667,                0.58106,                  0.906,                0.14712,                0.40771,                0.14915,                0.09895,                    nan,                    nan,                    nan,              0.0006395,              0.0006395,              0.0006395
                     39,                 1.0549,                0.58404,                0.90839,                0.24042,                0.39301,                0.16072,                0.10067,                    nan,                    nan,                    nan,               0.000623,               0.000623,               0.000623
                     40,                 1.0541,                0.56309,                0.90879,                0.23011,                0.51635,                0.19796,                0.12794,                    nan,                    nan,                    nan,              0.0006065,              0.0006065,              0.0006065
                     41,                 1.0545,                0.57296,                0.90576,                 0.1977,                0.49084,                0.15137,                0.09543,                    nan,                    nan,                    nan,                0.00059,                0.00059,                0.00059
                     42,                 1.0358,                0.56606,                0.90389,                0.31371,                0.35816,                0.18329,                 0.1174,                    nan,                    nan,                    nan,              0.0005735,              0.0005735,              0.0005735
                     43,                 1.0385,                 0.5583,                0.90202,                0.25868,                0.40378,                0.17785,                 0.1136,                    nan,                    nan,                    nan,               0.000557,               0.000557,               0.000557
                     44,                 1.0356,                 0.5568,                0.90002,                0.16568,                0.53355,                0.15972,                0.10098,                    nan,                    nan,                    nan,              0.0005405,              0.0005405,              0.0005405
                     45,                  1.024,                0.55181,                0.90109,                0.19149,                0.45921,                0.14837,                0.09133,                    nan,                    nan,                    nan,               0.000524,               0.000524,               0.000524
                     46,                 1.0205,                0.54618,                0.89953,                0.14011,                0.45036,                 0.1301,                0.08166,                    nan,                    nan,                    nan,              0.0005075,              0.0005075,              0.0005075
                     47,                 1.0014,                0.54548,                0.89428,                0.25409,                0.33328,                0.18212,                0.11771,                    nan,                    nan,                    nan,               0.000491,               0.000491,               0.000491
                     48,                 1.0015,                0.53783,                0.89624,                0.28743,                0.31018,                0.17086,                0.10531,                    nan,                    nan,                    nan,              0.0004745,              0.0004745,              0.0004745
                     49,                 1.0017,                 0.5306,                0.89555,                0.25438,                0.40581,                0.17869,                0.11172,                    nan,                    nan,                    nan,               0.000458,               0.000458,               0.000458
                     50,                0.99959,                0.53762,                0.88947,                0.17395,                0.41313,                0.17129,                0.09955,                    nan,                    nan,                    nan,              0.0004415,              0.0004415,              0.0004415
                     51,                0.97935,                0.52804,                0.88816,                0.22368,                0.31545,                 0.1512,                0.10343,                    nan,                    nan,                    nan,               0.000425,               0.000425,               0.000425
                     52,                0.98177,                0.51695,                0.88948,                 0.1786,                0.50991,                0.19972,                0.13066,                    nan,                    nan,                    nan,              0.0004085,              0.0004085,              0.0004085
                     53,                0.98586,                0.52029,                0.88724,                0.15522,                0.43715,                0.17311,                 0.1131,                    nan,                    nan,                    nan,               0.000392,               0.000392,               0.000392
                     54,                0.97595,                0.50983,                0.88628,                0.16319,                0.32263,                0.16286,                0.10854,                    nan,                    nan,                    nan,              0.0003755,              0.0003755,              0.0003755
