                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00040598,             0.00040598,             0.00040598
                      2,                    nan,                    nan,                    nan,                0.02451,                0.20615,                0.01492,                0.00846,                    nan,                    nan,                    nan,             0.00081179,             0.00081179,             0.00081179
                      3,                    nan,                    nan,                    nan,                0.00614,                0.43409,                0.00991,                 0.0052,                    nan,                    nan,                    nan,              0.0012066,              0.0012066,              0.0012066
                      4,                    nan,                    nan,                    nan,                 0.0041,                0.42867,                 0.0089,                0.00482,                    nan,                    nan,                    nan,              0.0012005,              0.0012005,              0.0012005
