                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0668,                0.58213,                0.91492,                0.52076,                0.53605,                0.49628,                0.28628,                 1.3944,                 1.2221,                 1.0687,               0.000689,               0.000689,               0.000689
                     36,                 1.0767,                0.58244,                0.91648,                0.47062,                0.53773,                0.46077,                0.25183,                 1.3906,                 1.2283,                 1.0712,              0.0006725,              0.0006725,              0.0006725
                     37,                 1.0624,                0.58222,                0.91191,                0.36419,                0.49759,                0.39189,                0.21013,                 1.3908,                 1.4074,                  1.062,               0.000656,               0.000656,               0.000656
                     38,                 1.0497,                0.57101,                0.91261,                0.48429,                0.45025,                0.40864,                0.22057,                 1.4164,                 1.2766,                 1.0862,              0.0006395,              0.0006395,              0.0006395
                     39,                 1.0317,                0.56488,                  0.906,                0.56234,                0.47489,                 0.4928,                 0.2788,                  1.385,                 1.2348,                 1.0633,               0.000623,               0.000623,               0.000623
                     40,                 1.0454,                0.56309,                0.90785,                0.53967,                0.37673,                0.41639,                0.24289,                 1.3941,                 1.3637,                 1.0728,              0.0006065,              0.0006065,              0.0006065
                     41,                 1.0367,                0.55818,                0.90837,                0.52826,                0.46337,                0.44537,                0.23336,                  1.421,                 1.3289,                 1.0917,                0.00059,                0.00059,                0.00059
                     42,                  1.028,                0.55353,                0.90212,                0.53849,                0.48122,                0.47926,                0.26694,                 1.4208,                 1.3593,                 1.0978,              0.0005735,              0.0005735,              0.0005735
                     43,                  1.031,                0.55383,                0.90446,                0.49277,                0.50377,                0.42938,                0.24527,                  1.381,                 1.3276,                 1.0742,               0.000557,               0.000557,               0.000557
                     44,                 1.0251,                0.54754,                0.90173,                0.49829,                0.51784,                0.47133,                0.27683,                 1.3547,                 1.4757,                 1.0578,              0.0005405,              0.0005405,              0.0005405
                     45,                 1.0097,                0.54596,                0.90028,                0.50537,                0.42466,                0.42035,                0.24314,                 1.3648,                 1.4055,                 1.0594,               0.000524,               0.000524,               0.000524
                     46,                 1.0146,                0.54197,                0.89854,                0.27185,                0.46861,                0.35563,                0.21126,                 1.3762,                 1.4432,                 1.0722,              0.0005075,              0.0005075,              0.0005075
                     47,                 1.0004,                0.52543,                0.89643,                0.48191,                0.38004,                0.40488,                0.22885,                 1.3924,                 1.2485,                 1.0699,               0.000491,               0.000491,               0.000491
                     48,                 1.0076,                0.52961,                0.89711,                0.45032,                0.39757,                0.36714,                0.20547,                 1.3687,                 1.4364,                 1.0697,              0.0004745,              0.0004745,              0.0004745
                     49,                 1.0071,                0.53561,                0.89564,                0.59432,                0.38422,                0.42693,                0.23222,                 1.3797,                 1.2697,                 1.0692,               0.000458,               0.000458,               0.000458
                     50,                0.98496,                0.52157,                0.89213,                0.47205,                0.45045,                0.38702,                0.22936,                 1.3562,                 1.3946,                 1.0613,              0.0004415,              0.0004415,              0.0004415
                     51,                0.98258,                 0.5186,                0.89427,                0.41316,                0.44654,                0.35841,                 0.2161,                 1.3796,                 1.4193,                 1.0696,               0.000425,               0.000425,               0.000425
                     52,                0.98215,                0.52203,                  0.892,                0.46253,                0.40721,                0.37153,                0.21585,                 1.4017,                 1.5456,                 1.0817,              0.0004085,              0.0004085,              0.0004085
                     53,                0.97444,                0.51134,                0.89143,                0.40704,                0.46169,                0.38543,                0.21229,                 1.3924,                 1.3405,                 1.0706,               0.000392,               0.000392,               0.000392
                     54,                0.96819,                0.50916,                0.88861,                0.35271,                0.43721,                0.36101,                 0.2189,                 1.4001,                 1.3874,                 1.0882,              0.0003755,              0.0003755,              0.0003755
                     55,                0.96916,                0.51038,                0.88903,                0.38845,                0.47132,                 0.3824,                0.21946,                 1.3967,                 1.3684,                 1.0689,               0.000359,               0.000359,               0.000359
                     56,                0.95181,                0.50546,                0.88533,                0.45876,                0.41009,                0.38583,                0.22355,                 1.3661,                 1.3736,                 1.0578,              0.0003425,              0.0003425,              0.0003425
                     57,                0.94831,                 0.5018,                0.88602,                0.57637,                0.36159,                0.39151,                0.21647,                 1.3965,                  1.361,                   1.07,               0.000326,               0.000326,               0.000326
                     58,                0.94271,                0.49467,                0.88492,                0.54501,                0.40375,                0.40856,                0.22628,                 1.3975,                 1.3543,                  1.071,              0.0003095,              0.0003095,              0.0003095
                     59,                0.94314,                0.50084,                 0.8784,                0.36141,                0.55748,                0.37181,                0.22263,                 1.3863,                 1.2686,                  1.068,               0.000293,               0.000293,               0.000293
