                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.91221,                0.52565,                0.98338,                  0.942,                0.86527,                0.93784,                0.62927,                  1.101,                0.58197,                 1.1117,                0.00123,                0.00123,                0.00123
                     37,                0.92805,                0.52744,                0.97719,                0.91753,                0.86632,                0.92885,                0.62872,                 1.0953,                0.59402,                 1.0893,               0.001208,               0.001208,               0.001208
                     38,                0.89648,                0.50946,                0.97896,                0.89067,                0.86812,                0.93008,                0.62419,                 1.0793,                0.59577,                 1.0946,               0.001186,               0.001186,               0.001186
                     39,                0.94098,                0.53653,                0.99056,                  0.903,                0.87705,                 0.9247,                0.62362,                  1.116,                0.61928,                 1.1193,               0.001164,               0.001164,               0.001164
                     40,                0.89395,                0.50415,                0.95643,                0.89415,                0.85656,                0.90435,                0.60515,                 1.1405,                0.63545,                 1.1252,               0.001142,               0.001142,               0.001142
                     41,                0.86711,                0.51147,                0.96957,                0.90799,                0.89344,                0.93837,                 0.6583,                 1.0736,                0.58018,                 1.1029,                0.00112,                0.00112,                0.00112
                     42,                0.89454,                 0.4982,                0.97052,                0.93394,                0.88115,                 0.9423,                0.64462,                 1.0867,                0.53738,                 1.0997,               0.001098,               0.001098,               0.001098
                     43,                0.88713,                0.49348,                0.96474,                0.93031,                0.86885,                 0.9412,                0.63463,                 1.0849,                0.58725,                 1.1237,               0.001076,               0.001076,               0.001076
                     44,                0.84574,                0.47446,                0.93639,                0.88631,                0.87295,                0.92584,                0.61867,                 1.0896,                0.57709,                 1.1084,               0.001054,               0.001054,               0.001054
                     45,                0.84723,                0.48148,                0.96479,                0.91952,                0.83607,                0.91529,                0.63897,                 1.1046,                0.59099,                 1.1123,               0.001032,               0.001032,               0.001032
                     46,                0.84141,                0.47387,                0.95567,                0.90908,                0.86051,                0.92652,                0.63071,                 1.1062,                0.63116,                 1.1131,                0.00101,                0.00101,                0.00101
                     47,                0.88517,                0.48885,                0.96131,                0.92661,                0.87967,                0.93261,                0.63703,                 1.0607,                 0.5875,                  1.111,               0.000988,               0.000988,               0.000988
                     48,                0.82567,                0.46984,                0.95613,                0.93697,                0.84426,                0.91636,                0.61509,                 1.0818,                0.61324,                 1.0982,               0.000966,               0.000966,               0.000966
                     49,                 0.8648,                0.48971,                0.96002,                  0.939,                0.85246,                 0.9236,                0.63559,                 1.0834,                0.60339,                 1.0942,               0.000944,               0.000944,               0.000944
                     50,                0.81396,                0.45515,                0.94393,                 0.8932,                0.85689,                0.92057,                0.62161,                 1.0852,                0.56521,                 1.1185,               0.000922,               0.000922,               0.000922
                     51,                0.80785,                 0.4608,                0.94038,                0.92453,                0.85351,                0.93227,                0.64319,                  1.078,                0.56571,                 1.1057,                 0.0009,                 0.0009,                 0.0009
                     52,                0.85389,                0.46651,                0.94323,                0.90573,                0.88525,                0.94057,                0.64258,                 1.1041,                0.58457,                 1.1173,               0.000878,               0.000878,               0.000878
                     53,                0.80312,                0.44347,                0.93439,                0.91821,                0.87422,                0.94104,                0.65668,                 1.0904,                0.58139,                 1.1045,               0.000856,               0.000856,               0.000856
                     54,                0.80173,                0.44647,                0.94517,                0.91973,                0.88115,                0.94272,                 0.6506,                 1.0762,                 0.5404,                 1.0834,               0.000834,               0.000834,               0.000834
                     55,                0.79348,                0.43291,                0.93204,                0.85822,                0.91803,                0.93992,                0.65704,                 1.0361,                0.53747,                 1.0827,               0.000812,               0.000812,               0.000812
                     56,                0.80825,                0.44334,                0.94656,                0.92519,                0.84836,                0.94433,                0.66181,                 1.0347,                0.52615,                 1.0995,                0.00079,                0.00079,                0.00079
